census_tract_id_2010,pct_green_2019,pct_impervious_2019,pct_treecanopy_2016,evi_2018,year
39061026101,63,37,11,0.43160000000000004,2019
39061020705,72,32,22,0.4547,2019
39061020505,80,29,17,0.49119999999999997,2019
39061021509,86,20,26,0.4914,2019
39061020742,85,31,20,0.4682,2019
39061020762,73,37,17,0.41050000000000003,2019
39061022301,41,55,6,0.35309999999999997,2019
39061023001,45,49,13,0.3599,2019
39061023002,81,30,24,0.43800000000000006,2019
39061021602,95,15,38,0.521,2019
39061021900,84,28,19,0.46840000000000004,2019
39061022101,91,14,37,0.4943,2019
39061026200,78,10,23,0.42790000000000006,2019
39061005702,62,41,22,0.43840000000000007,2019
39061005800,87,23,32,0.48830000000000007,2019
39061005900,51,49,11,0.43150000000000005,2019
39061006100,47,46,17,0.41730000000000006,2019
39061006300,42,55,4,0.4151,2019
39061006400,54,45,7,0.4186,2019
39061006500,74,31,24,0.43090000000000006,2019
39061021603,92,18,30,0.5072,2019
39061021702,70,37,16,0.4047,2019
39061021508,75,36,13,0.4237,2019
39061020811,81,25,27,0.4505,2019
39061020761,73,36,13,0.39880000000000004,2019
39061020707,94,15,33,0.4984,2019
39061022601,97,13,48,0.4984,2019
39061020741,66,41,14,0.4522,2019
39061021572,72,31,22,0.46180000000000004,2019
39061023522,62,42,14,0.40740000000000004,2019
39061023210,79,30,27,0.48560000000000003,2019
39061006600,60,40,20,0.3719,2019
39061006800,65,36,24,0.40850000000000003,2019
39061006900,61,39,23,0.41530000000000006,2019
39061007000,82,22,37,0.5042,2019
39061007100,79,23,43,0.4681,2019
39061007200,58,42,21,0.359,2019
39061007300,72,29,32,0.5251,2019
39061007400,19,67,4,0.3158,2019
39061026001,92,9,33,0.5136000000000001,2019
39061023701,60,48,5,0.405,2019
39061023702,70,41,7,0.41580000000000006,2019
39061021102,96,12,41,0.5122,2019
39061021201,97,13,33,0.5167,2019
39061021302,93,14,43,0.5184,2019
39061021303,82,29,19,0.43360000000000004,2019
39061021304,89,17,41,0.5025,2019
39061023300,94,14,42,0.4994,2019
39061023600,92,24,30,0.5304,2019
39061004500,84,11,45,0.46290000000000003,2019
39061004602,87,20,41,0.4772,2019
39061004603,91,22,35,0.4428,2019
39061004702,66,23,15,0.43110000000000004,2019
39061024400,98,4,57,0.5533,2019
39061007500,86,17,47,0.5463,2019
39061007700,56,41,23,0.48380000000000006,2019
39061007800,27,60,5,0.3548,2019
39061007900,79,24,42,0.49069999999999997,2019
39061008000,65,32,27,0.4782,2019
39061008100,78,22,32,0.4979,2019
39061021421,79,32,17,0.4136,2019
39061025700,20,65,3,0.323,2019
39061021506,54,49,5,0.3504,2019
39061021501,82,30,20,0.4435,2019
39061010005,70,33,26,0.4416,2019
39061010004,65,33,24,0.4408,2019
39061010003,85,24,34,0.46390000000000003,2019
39061004605,93,7,61,0.5582,2019
39061008201,85,29,24,0.43570000000000003,2019
39061008202,68,38,17,0.3852,2019
39061008300,76,33,20,0.42560000000000003,2019
39061008400,90,13,52,0.5443,2019
39061008501,94,7,63,0.5793,2019
39061008502,71,28,34,0.4576,2019
39061005302,75,27,21,0.521,2019
39061005301,36,56,9,0.3235,2019
39061004604,85,20,44,0.5053,2019
39061020403,90,6,44,0.5293,2019
39061020404,96,9,41,0.5326000000000001,2019
39061026300,10,73,2,0.2371,2019
39061026500,6,79,0,0.17670000000000002,2019
39061026400,4,78,0,0.28140000000000004,2019
39061026900,7,76,1,0.26980000000000004,2019
39061026700,19,66,4,0.32580000000000003,2019
39061027000,29,60,7,0.2827,2019
39061026800,32,58,7,0.313,2019
39061027100,51,48,7,0.3816,2019
39061027200,62,37,30,0.43080000000000007,2019
39061026600,42,37,9,0.3414,2019
