census_tract_id_2010,n_parcels,n_parcels_near_traffic,n_parcels_near_truck_traffic,n_households,n_households_near_traffic,n_households_near_truck_traffic,median_parcel_traffic,median_household_traffic,median_parcel_truck_traffic,median_household_truck_traffic,frac_households_near_traffic,frac_parcels_near_traffic,frac_households_near_truck_traffic,frac_parcels_near_truck_traffic,year
39061025500,1167,602,308,1774,963,478,1596761,1905566,0,0,0.543,0.516,0.269,0.264,2017
39061025600,945,830,95,1413,1261,129,11858887,12885465,0,0,0.892,0.8780000000000001,0.091,0.101,2017
39061020501,1257,479,477,1259,480,478,0,0,0,0,0.381,0.381,0.38,0.379,2017
39061020502,2079,692,681,2084,692,681,0,0,0,0,0.33199999999999996,0.33299999999999996,0.327,0.328,2017
39061020504,1263,511,64,1263,511,64,0,0,0,0,0.405,0.405,0.051000000000000004,0.051000000000000004,2017
39061020601,2260,554,545,2418,710,662,0,0,0,0,0.29400000000000004,0.24500000000000002,0.274,0.24100000000000002,2017
39061020602,3294,1631,1257,3470,1807,1375,0,0,0,0,0.521,0.495,0.396,0.382,2017
39061020701,2467,1381,1067,2687,1601,1274,3917732,4045548,0,0,0.596,0.56,0.47400000000000003,0.43300000000000005,2017
39061024301,996,898,341,1114,1016,458,16900619.5,16900619.5,0,0,0.912,0.902,0.41100000000000003,0.34199999999999997,2017
39061021701,770,673,181,918,815,242,10506530.5,10977931.5,0,0,0.888,0.8740000000000001,0.264,0.23500000000000001,2017
39061021802,1326,707,247,1411,764,252,1543930,1701741.5,0,0,0.541,0.533,0.17900000000000002,0.186,2017
39061025200,1549,1433,108,1946,1811,150,5863723,6211229,0,0,0.931,0.925,0.07700000000000001,0.07,2017
39061023521,845,350,240,884,389,279,0,0,0,0,0.44,0.41400000000000003,0.316,0.28400000000000003,2017
39061025800,1543,1444,425,1970,1838,557,6529421,7157130,0,0,0.933,0.936,0.28300000000000003,0.275,2017
39061004900,2127,1821,324,2912,2605,409,13721580,14580129,0,0,0.895,0.8560000000000001,0.14,0.15200000000000002,2017
39061005000,1724,1447,168,2434,2056,173,24695032,27466083.5,0,0,0.8450000000000001,0.8390000000000001,0.07100000000000001,0.097,2017
39061005100,893,406,0,1138,586,0,0,0,0,0,0.515,0.455,0,0,2017
39061005200,1266,1202,403,1809,1715,590,19300980.5,25053506.5,0,0,0.9480000000000001,0.9490000000000001,0.326,0.318,2017
39061005400,168,168,11,416,416,56,33020976.5,33588568,0,0,1,1,0.135,0.065,2017
39061005500,1062,892,32,1691,1434,32,17788725,18419500,0,0,0.8480000000000001,0.8400000000000001,0.019,0.03,2017
39061005600,2376,1366,35,2780,1568,35,3636807.5,3687679.5,0,0,0.5640000000000001,0.5750000000000001,0.013000000000000001,0.015,2017
39061005701,919,647,0,1353,975,0,8321749,8645114,0,0,0.721,0.704,0,0,2017
39061021604,1422,965,210,1453,996,235,6900889.5,6900889.5,0,0,0.6849999999999999,0.6789999999999999,0.162,0.14800000000000002,2017
39061026101,2588,1033,133,3015,1456,295,0,0,0,0,0.48300000000000004,0.399,0.098,0.051000000000000004,2017
39061020705,1005,819,532,1073,887,577,14822733,14957750,321756,321756,0.8270000000000001,0.8150000000000001,0.538,0.529,2017
39061020505,1581,886,628,1658,963,628,8172531,8172531,0,0,0.581,0.56,0.379,0.397,2017
39061021509,2091,946,80,2251,1105,80,0,0,0,0,0.491,0.452,0.036,0.038,2017
39061020742,1354,832,0,1418,838,0,5352444.5,5352444.5,0,0,0.591,0.614,0,0,2017
39061020762,994,895,289,1234,1134,423,8472122,8625878,0,0,0.919,0.9,0.34299999999999997,0.29100000000000004,2017
39061022301,1228,1091,465,1501,1364,699,9953240.5,9976827,0,0,0.909,0.888,0.466,0.379,2017
39061023001,895,775,573,1343,1106,904,19157101,20195472,406906,420457,0.8240000000000001,0.8660000000000001,0.6729999999999999,0.64,2017
39061023002,2006,368,243,2114,398,273,0,0,0,0,0.188,0.183,0.129,0.12100000000000001,2017
39061021602,1191,482,59,1210,501,59,0,0,0,0,0.41400000000000003,0.405,0.049,0.05,2017
39061021900,526,397,0,561,427,0,6426748.5,6510984.5,0,0,0.761,0.755,0,0,2017
39061022101,1928,920,0,1934,925,0,0,0,0,0,0.47800000000000004,0.47700000000000004,0,0,2017
39061026200,285,93,93,294,98,98,0,0,0,0,0.33299999999999996,0.326,0.33299999999999996,0.326,2017
39061005702,1300,919,95,1947,1264,108,7807027.5,7934246.5,0,0,0.649,0.707,0.055,0.07300000000000001,2017
39061005800,1836,708,156,2381,931,157,0,0,0,0,0.391,0.386,0.066,0.085,2017
39061005900,342,342,0,587,587,0,8726277,10299377.5,0,0,1,1,0,0,2017
39061006100,880,837,751,1118,1074,975,12436691,14055609.5,225901.5,266048,0.961,0.9510000000000001,0.8720000000000001,0.8530000000000001,2017
39061006300,1497,1228,161,1906,1612,224,13181108,13876848,0,0,0.8460000000000001,0.8200000000000001,0.118,0.10800000000000001,2017
39061006400,1052,1004,491,1595,1525,777,16466938,31445765.5,0,0,0.9560000000000001,0.9540000000000001,0.48700000000000004,0.467,2017
39061006500,1327,1286,1,1986,1920,1,10739634,12399894,0,0,0.967,0.969,0.001,0.001,2017
39061021603,1494,772,0,1500,778,0,2427705,2427705,0,0,0.519,0.517,0,0,2017
39061021702,1122,815,236,1415,983,253,5193948.5,5226117,0,0,0.695,0.726,0.17900000000000002,0.21000000000000002,2017
39061021508,2171,1496,87,2210,1535,87,6450963,6450963,0,0,0.695,0.689,0.039,0.04,2017
39061020811,2401,1563,546,2602,1762,669,10491591,10506448,0,0,0.6769999999999999,0.651,0.257,0.227,2017
39061020761,2330,1891,415,2932,2452,530,13079289.5,13190380.5,0,0,0.8360000000000001,0.812,0.181,0.17800000000000002,2017
39061020707,1987,744,168,2041,795,169,0,0,0,0,0.39,0.374,0.083,0.085,2017
39061022601,2145,1007,519,2209,1070,582,0,0,0,0,0.48400000000000004,0.46900000000000003,0.263,0.24200000000000002,2017
39061020741,1286,520,407,1325,559,446,0,0,0,0,0.42200000000000004,0.404,0.33699999999999997,0.316,2017
39061021572,1423,564,107,1823,728,188,0,0,0,0,0.399,0.396,0.10300000000000001,0.07500000000000001,2017
39061023522,2252,1412,852,2427,1575,976,11997453,11997453,0,0,0.649,0.627,0.402,0.378,2017
39061023210,1632,575,393,2000,936,434,0,0,0,0,0.468,0.352,0.21700000000000003,0.24100000000000002,2017
39061006600,285,285,39,840,840,63,25337877,48094404,0,0,1,1,0.07500000000000001,0.137,2017
39061006800,704,467,0,1716,1359,0,12955016.5,15964733.5,0,0,0.7919999999999999,0.6629999999999999,0,0,2017
39061006900,715,647,0,1333,1160,0,23812541,28180662,0,0,0.8700000000000001,0.905,0,0,2017
39061007000,657,657,197,1055,1055,250,24222024,31741732,0,0,1,1,0.23700000000000002,0.3,2017
39061007100,875,855,750,1490,1470,1207,19889043,22439350,615688,799565,0.987,0.977,0.81,0.8570000000000001,2017
39061007200,388,388,347,1005,1005,747,28302163.5,38701030,1102596.5,1444900.5,1,1,0.743,0.894,2017
39061007300,651,450,16,886,662,23,11710172,12073581,0,0,0.747,0.691,0.026000000000000002,0.025,2017
39061007400,639,473,57,892,683,65,9952414,10530432,0,0,0.766,0.74,0.07300000000000001,0.089,2017
39061026001,1747,232,227,1768,232,227,0,0,0,0,0.131,0.133,0.128,0.13,2017
39061023701,1099,875,0,1246,1004,0,6771132,7051758,0,0,0.806,0.7959999999999999,0,0,2017
39061023702,1104,609,0,1265,726,0,4226150,4325722,0,0,0.5740000000000001,0.552,0,0,2017
39061021102,2394,1194,377,2399,1195,378,0,0,0,0,0.498,0.499,0.15800000000000003,0.15700000000000003,2017
39061021201,839,398,81,839,398,81,0,0,0,0,0.47400000000000003,0.47400000000000003,0.097,0.097,2017
39061021302,1825,704,43,1870,748,43,0,0,0,0,0.4,0.386,0.023,0.024,2017
39061021303,1722,1266,419,1733,1275,427,4001670,4011915,0,0,0.736,0.735,0.24600000000000002,0.24300000000000002,2017
39061021304,1617,1329,449,1700,1412,489,7953285,7953285,0,0,0.8310000000000001,0.8220000000000001,0.28800000000000003,0.278,2017
39061023300,1638,732,92,1727,733,92,0,0,0,0,0.42400000000000004,0.447,0.053000000000000005,0.056,2017
39061023600,1762,1117,291,1915,1270,291,5564327,5679362.5,0,0,0.6629999999999999,0.634,0.15200000000000002,0.165,2017
39061004500,397,261,170,409,271,172,92949,92949,0,0,0.6629999999999999,0.657,0.42100000000000004,0.42800000000000005,2017
39061004602,1573,1180,946,2210,1817,1317,4793659,4923777,14700,15569,0.8220000000000001,0.75,0.596,0.601,2017
39061004603,1164,813,709,1366,955,851,4203968,4322161.5,17593,18283,0.699,0.698,0.623,0.609,2017
39061004702,282,278,273,353,349,344,20346611,22873960.5,126459.5,243184,0.989,0.986,0.975,0.968,2017
39061024400,2776,796,366,2825,845,414,0,0,0,0,0.29900000000000004,0.28700000000000003,0.14700000000000002,0.132,2017
39061007500,820,627,374,1003,793,399,13645799,14287866,0,0,0.7909999999999999,0.765,0.398,0.456,2017
39061007700,494,458,207,737,699,262,12532527.5,17105043.5,0,0,0.9480000000000001,0.927,0.355,0.41900000000000004,2017
39061007800,912,710,317,1265,998,472,12118814.5,13141588,0,0,0.7889999999999999,0.779,0.373,0.348,2017
39061007900,568,550,225,836,808,375,13551201,13989352,0,0,0.967,0.968,0.449,0.396,2017
39061008000,148,90,0,567,379,0,8310025,8310025,0,0,0.6679999999999999,0.608,0,0,2017
39061008100,826,466,92,1095,621,191,6540929,6540929,0,0,0.5670000000000001,0.5640000000000001,0.17400000000000002,0.111,2017
39061021421,1505,689,264,1512,694,264,0,0,0,0,0.459,0.458,0.17500000000000002,0.17500000000000002,2017
39061025700,622,622,622,819,819,819,56632701.5,70167444.5,6037615,7766097,1,1,1,1,2017
39061021506,1132,888,428,1165,921,428,8543349,8543349,0,0,0.7909999999999999,0.7839999999999999,0.367,0.378,2017
39061021501,1669,1280,877,1754,1365,961,8876564,8954435,175663,175663,0.778,0.767,0.548,0.525,2017
39061010005,504,304,0,610,409,0,3621954.5,3717979,0,0,0.6699999999999999,0.603,0,0,2017
39061010004,289,272,87,1702,1428,87,10595450,11134348,0,0,0.8390000000000001,0.9410000000000001,0.051000000000000004,0.301,2017
39061010003,1021,846,39,1636,1437,49,10025646,10486935,0,0,0.8780000000000001,0.8290000000000001,0.03,0.038,2017
39061004605,729,366,207,1113,750,590,152425,152425,0,0,0.6739999999999999,0.502,0.53,0.28400000000000003,2017
39061008201,1381,908,26,1802,1275,29,9692052,10001058,0,0,0.708,0.657,0.016,0.019,2017
39061008202,865,865,238,1408,1408,427,15338710,16364576,0,0,1,1,0.303,0.275,2017
39061008300,1408,1251,746,2109,1847,1185,15219318,17214512.5,428530.5,457267,0.8760000000000001,0.888,0.562,0.53,2017
39061008400,515,463,58,665,613,175,8279827,8501858,0,0,0.922,0.899,0.263,0.113,2017
39061008501,362,311,308,1233,1101,1096,16593002,16734102.5,915994.5,996141,0.893,0.8590000000000001,0.889,0.8510000000000001,2017
39061008502,47,28,28,170,71,71,51814474,51870880,2298564,2304205,0.41800000000000004,0.596,0.41800000000000004,0.596,2017
39061005302,1228,755,0,1618,857,0,6080881.5,6176231,0,0,0.53,0.615,0,0,2017
39061005301,1069,941,0,1611,1433,0,10852234,13212909,0,0,0.89,0.88,0,0,2017
39061004604,1132,851,731,1524,1243,1084,7090238.5,7144426,97599.5,97599.5,0.8160000000000001,0.752,0.711,0.646,2017
39061020403,2081,446,15,2088,449,18,0,0,0,0,0.21500000000000002,0.21400000000000002,0.009,0.007,2017
39061020404,1854,526,12,1862,531,12,0,0,0,0,0.28500000000000003,0.28400000000000003,0.006,0.006,2017
39061026300,149,149,119,278,278,235,46160285,55389420,1339683,1596991,1,1,0.8450000000000001,0.7989999999999999,2017
39061026500,396,396,396,805,805,805,137504653,137504653,10273854.5,10494071,1,1,1,1,2017
39061026400,339,339,322,414,414,391,17420129,19884357,75614,87741,1,1,0.9440000000000001,0.9500000000000001,2017
39061026900,469,469,296,921,921,574,61257156,78848488,6408711,7853193,1,1,0.623,0.631,2017
39061026700,412,412,337,811,811,647,84960491.5,97408521,8929305.5,10255294,1,1,0.7979999999999999,0.8180000000000001,2017
39061027000,520,502,129,1114,1077,365,27509484.5,35112439.5,0,0,0.967,0.965,0.328,0.24800000000000003,2017
39061026800,613,613,613,1114,1114,1114,46833283,63232550,1957695,3135390,1,1,1,1,2017
39061027100,891,718,19,1519,1233,20,10341672,10734120,0,0,0.812,0.806,0.013000000000000001,0.021,2017
39061027200,605,605,50,893,893,78,20655995,23264374,0,0,1,1,0.08700000000000001,0.083,2017
39061026600,673,673,673,793,793,793,34091182,34764093,703881,707551,1,1,1,1,2017
